＃,Japanese,English,French,German
2439,合成まくらぎ,synthetic sleeper,traverse synthetique (f),Kunstholzschwelle (f)
2440,合成油,synthetic oil,huiles synthetiques (fpl),kunstliches Ol (n)
2441,洪積地盤,diluvial ground,"sol diluvial (m), depot diluvial (m)",diluvialer Boden (m)
2442,鉱石車,"ore car, ore wagon, mineral wagon",wagon mineralier (m),Erzwagen (m)
2443,洪積層,"diluvium, diluvium deposit",depot diluvial (m),"Diluvium (n), diluviales Sediment (n)"
2444,豪雪,heavy snowfall,"chute de neige importante (f), forte chute de neige (f)",bedeutsamer Schneefall (m)
2445,降雪強度,snowfall intensity/rate,intensite（f) de chute de neige (f),Schneefallstarke (f)
2446,降雪検知器,snowfall detector,detecteur de chute de neige (m),Schneefalldetektor (m)
2447,降雪指数,snowfall index,indice de chute de neige (m),Schneefallindex (m)
2448,降雪板,"snowfall board, snow board",tableau d’enneigement (m),"Schneefalltafel (f), Schneetafel (f)"
2449,降雪量,snowfall amount,quantite de chute de neige (f),"Schneefallbetrag (m), Schneemenge (m)"
2450,甲線［線路種別の］,first class line,ligne de premiere classe (f),Linie erster Klasse (f)
2451,鋼繊維補強コンクリート,steel-fiber reinforced concrete,"beton renforce par fibres d’acier (m), beton a fibres d’acier (m)",Stahlfiberbeton (m)
2452,鋼繊維補強吹付けコンクリート,steel-fiber reinforced shotcrete,beton projete aux fibres d’acier (m),"Stahlfaser-Torkretbeton (m), Stahlfiber-Spritzbeton (m)"
2453,構造解析係数,structural analysis factor,facteur d’analyse structurale (m),Strukturanalysenfaktor (m)
2454,合造車,"combination car, combined car, composite car",voiture combinee. F,Kombinationswagen (m)
2455,構造物基準点［超電導磁気浮上式鉄道の］,structure datum point,"donnee de reference de la structure (f), point de reference de la structure (m)",Konstruktionsbezugspunkt (m)
2456,構造物係数,structure factor,facteur structurel (m),Strukturfaktor (m)
2457,構造物検査,inspection,inspection (f),Strukturinspektion (f)
2458,構造物騒音,bridge noise,bruit du corps (m),Bruckengerausch (n)
2459,高速貨物列車,high speed freight train,train de marchandises a grande vitesse (m),Hochgeschwindigkeitsguterzug (m)
2460,高速軌道検測車,"high speed track inspection car, high speed track measuring car",vehicule d’inspection a grande vitesse (m),Gleismeswagen mit hoher Geschwindigkeit (m)
2461,高速進行信号,high speed signal aspect,"aspect du signal de grande vitesse (m), signal a voie libre de grande vitesse (f)","Hochgeschwindigkeit-Signalbild (n), Hochgeschwindigkeit-Signalbegriff (m)"
2462,高速性,speediness,rapidite (f),"Schnelligkeit (f), Promptheit (f)"
2463,高速鉄道,high-speed railways,chemin de fer a grande vitesse (m),Hochgeschwindigkeitsbahn (f)
2464,高速度減流器［電気車の］,high speed current limiter,limiteur de courant ultra-rapide (m),schnell gegenwartiger Begrenzer (m)
2465,高速度遮断器,high speed circuit breaker,disjoncteur ultra-rapide (m),"Schnellausloser (m), Schnellselbstschalter (m)"
2466,高速用貨車,high speed freight car,wagon de marchandises grande vitesse (m),Hochgeschwindigkeits-Guterwagen (m)
2467,構体［車両の］,"（car）body structure, carbody shell, bodyshell","structure de caisse (f), coque (f), structure en acier (f), structure metallique (f), charpente en acier (f), charpente metallique (f)","Wagenkasten (m), Kastenstruktur (m)"
2468,構体荷重試験,test methods of static load for body structures,methodes de test de charge statique pour les structures de caisse (f),Testverfahren der statischen Last fur Wagenstrukturen (n)
2469,剛体架線,overhead rigid conductor equipment,rail aerien de contact,starre Fahrleitung (f)
2470,剛体基礎［構造物の］,rigid foundation,fondation rigide (f),starre Grundlage (f)
2471,後退起動［車両の］,start at a steep grade,demarrage en pente rapide (m),Anfahren an steiler Steigung (n)
2472,剛体ちょう架式,overhead rigid conductor equipment,conducteur rigide aerien (m),starre Freileitung (f)
2473,剛体電車線,rigid conductor equipment,rail aerien de contact,starre Freileitung (f)
2474,構体の強度と剛性［車両の］,strength and rigidity of（car）body structure,resistance et rigidite de la structure de la caisse (f),Starke und Steifigkeit der Wagenkastenstruktur (f)
2475,構体の相当ねじり剛性［車両の］,equivalent torsional rigidity of body structure,rigidite a la torsion equivalente de la structure de la caisse (f),aquivalente Torsionssteifigkeit der Wagenkastenstruktur (f)
2476,剛体複線式,double rigid conductor system,systeme conducteur rigide double (m),starres Doppelleitersystem (n)
2477,構体骨組［車両の］,body framing,ossature de caisse (f),"Gerippe des Wagenkastens (n), Wagenkastengerippe (n)"
2478,拱頂,crown,voute (f),Krone (f)
2479,高調波,harmonics,harmoniques (fpl),"Harmonische (pl), harmonische Schwingungen (pl), Oberschwingungen (pl)"
2480,高調波含有率,relative harmonic content,taux d’harmoniques (m),Oberschwingungsgehalt (m)
2481,高調波共振［電気回路の］,harmonic resonance,resonance harmonique (f),harmonische Resonanz (f)
2482,高調波障害,harmonic problem,"trouble（perturbation) par harmoniques, m (f)",Oberschwingungsstorung (f)
2483,高調波電流,harmonic current,courant harmonique (m),harmonischer Strom (m)
2484,高張力鋼,high tensile steel,"acier a haute resistance (m), acier a resistance elevee (m)",hochzugfester Stahl (m)
2485,交直切換器［電気車の］,AC-DC changer,"commutateur c.a., c.c. (m)",Wechselstrom-Gleichstrom-Umformer (m)
2486,交直切替設備［き電の］,AC-DC change-over equipment,equipement de commutation c.a.-c.c. (m),Wechselstrom-Gleichstrom-Umschaltgerat (n)
2487,交直転換器［電気車の］,AC-DC changeover switch,"commutateur c.a., c.c. (m)","Wechselstrom-Gleichstrom-Umschalter (m), Wechselstrom-Gleichstrom-Abschalter (m), Wechselstrom-Gleichstrom- Schalter (m)"
2488,交直流電気機関車,AC-DC dual system electric locomotive,"locomotive bi-courant a.c., c.c. (f)",Allstromlokomotive (f)
2489,交直流電気車,AC-DC dual electric rolling stock,"materiel roulant bi-courant c.a., c.c., materiel roulant bi-courant (m)",AC-DC-Strom-Zweisystemelektrofahrzeug (n)
2490,交直流電車,AC-DC dual system electric railcar,automotrice bicourant c.a.-c.c. (m),Wechselstrom-Gleichstrom-Rollmaterial (n)
2491,交通,transport,transport (m),Transport (m)
2492,交通管理,traffic management,gestion du trafic (f),Verkehrsmanagement (n)
2493,交通機関,means of transport,moyens de transport (mpl),"Beforderungsmittel (n), Transportmittel (n), Verkehrsmittel (m), Verkehrstrager (m)"
2494,交通機関選択行動予測,prediction of mode choice behavior,prediction de la selection du mode (f),Vorhersage des Moduswahlverhaltens (f)
2495,交通機関分担,modal split,division des organismes du trafic (f),Verkehrsaufteilung (f)
2496,交通計画,transport planning,"plan des transports (m), projet des transports (m)",Transportplanung (f)
2497,交通経済学,transport economics,economie des transports (f),Transportwirtschaft (f)
2498,交通結節点,junction,jonction (f),Abzweigstelle (f)
2499,交通工学,transport engineering,genie des transports (f),Transporttechnik (f)
2500,交通サービス,transport service,service de transport (m),Verkehrsleistung (f)
2501,交通システム,transport system,système de transport (m),Verkehrssystem (n)
2502,交通手段,"means of transport, transport mode",moyens de transport (mpl),"Verkehrsmittel (n), Transportmittel (n)"
2503,交通需要,transport demand,demande de transport (f),Verkehrsnachfrage (f)
2504,交通需要マネジメント,transport demand management,gestion de la demande de transport (f),Transportbedarfsmanagement (n)
2505,交通信号機,traffic signal,"signal de trafic (m), signal lumineux (m), feu de circulation (m)",Verkehrssignal (n)
2506,交通振動,traffic-induced vibration,"vibration induite par le trafic (f), secousse due à la circulation (f)",vom Verkehr induzierte Schwingung (f)
2507,交通政策,transport policy,politique de transport (f),Transportpolitik (f)
2508,交通政策基本法,Basic act on transport policy,loi de principe sur la politique de transport (f),Rechtsgrundlage der Verkehrspolitik
2509,交通調査,transport survey,étude sur les transports (f),Verkehrsuntersuchung (f)
2510,交通統計,transport statistics,statistiques sur les transports (fpl),Verkehrsstatistik (f)
2511,交通統制,"transport regulation, transport control",réglementation du transport (f),"Verkehrsvorschrift (f), Verkehrssteuerung (f)"
2512,交通ネットワーク,transport network,réseau de transport (m),Verkehrsnetz (n)
2513,交通バリアフリー法,The Law for Promoting Easily Accessible Public Transportation Infrastructure for the Aged and the Disabled,Loi pour la promotion d’une infrastructure des transports publics facile d’accès pour les personnes âgées et les handicapés (f),Gesetz zur Förderung von leicht zugänglichen öffentlichen Verkehrsmitteln für alte und behinderte Menschen (n)
2514,交通網計画,"transport network planning, traffic network planning",planification du réseau de transport (f),Verkehrsnetzplanung (f)
2515,交通量,traffic volume,volume du trafic (m),"Verkehrsvolumen (n), Verkehrsaufkommen"
2516,交通領域,influential area of transport,zone de transport (f),Einflußbereiche des Verkehrs (pl)
2517,行程［エンジンの］,stroke,"course (f), temps [internal combustion engine] (m)","Kolbenhub (m), Hub (m), Takt (m)"
2518,行程［分岐器の］,throw of switch,course (f),Wurf des Weichen (m)
2519,高抵抗地絡［直流電気鉄道の］,high-resistance ground fault,défaut à la terre à grande résistance (m),hochohmiger Erdschluß (m)
2520,高低速切換機構［ディーゼル機関車の］,high/low speed changer,commutateur grande/petite vitesse (m),Hoch / Niedrig-Geschwindigkeitswechsler (m)
2521,高低調整板［レール締結装置の］,adjusted pad,semelle ajustable (f),eingestellte Zwischenlage (f)
2522,高低変位［軌道の］,longitudinal level irregularity,anomalie de niveau longitudinal (f),Längshöhe-Unregelmäßigkeit (f)
2523,高低変位［ガイドウェイの］,irregularity of longitudinal level,irrégularité du niveau longitudinal (f),Unregelmäßigkeit des Längspegels (f)
2524,硬点［トロリー線の］,hard spot,"point dur (m), point dur du fil de contact (m)","Fahrleitungspunkt mit ungenügender Elastizität (m), harter Punkt (m)"
2525,硬点検出装置［トロリー線の］,hard spot detection device,détecteur de points durs (m),Hartpunktdetektor (m)
2526,抗土圧構造物,retaining structure,structure résistante à la poussée de terre (f),Haltestruktur (f)
2527,硬銅線（HDCC）,hard drawn copper conductor,conducteur en cuivre dur (m),hartgezogener Kupferleiter (m)
2528,硬銅トロリー線,hard drawn copper contact wire,fil de contact de cuivre dur (m),Hartkupferfahrdraht (m)
2529,硬銅より線,hard drawn copper wire strands,câble en cuivre dur (m),hartgezogener Kupferdraht (m)
2530,硬頭レール,head-hardened rail,rail à champignon traité thermiquement (m),"warmbehandelte Schiene (f), kopfgehärtete Schiene (f)"
2531,硬度試験［バラストの］,hardness test,essai（m) de dureté (m),"Härteprüfung (f), Reibfestigkeitsprüfung für Bettung (f)"
2532,構内,"premises of station, yard","enceinte du chemin de fer (f), gare (f), dépôt (m)","Bahnhofsbereich (m), Bahnhofsteil (m)"
2533,構内入換え,shunting in yard premise,"manœuvre en chantier (dépôt, gare) (f)",Rangieren im Bahnhofsbereich (n)
2534,構内入換用無線,shunting yard radio,radio de gare (f),Rangierfunk (m)
2535,構内運転,operation inside yard（station）premises,gare de triage de fonctionnement intérieur (en enceinte de gare) (f),Betrieb im Bahnhofsbereich (m)
2536,坑内運搬,tunnel haulage,traction dans la galerie (f),Unterirdischgraben Transport (m)
2537,坑内換気,tunnel ventilation,"ventilation dans la galerie (f), aération dans la galerie (f)",Tunnelbelüftung (f)
2538,構内作業,work inside yard premise,"travaux en gare (mpl), travaux en dépôt (mpl), travaux en chantier (mpl)",Arbeiten im Bahnhof (pl)
2539,構内作業駅,yard,gare de triage (f),Rangierbahnhof (m)
2540,構内作業係,worker of yard,travailleur de chantier (m),Personal für Bahnhofsbereich (n)
2541,構内作業ダイヤ,diagram of occupancy of tracks in yard,plan d’occupation des voies (m),Diagramm der Abstellanlagenbesetzung (n)
2542,構内作業担当,workers of yard,travailleurs de gare (mpl),Personal für Bahnhofsbereich (n)
2543,構内試運転,running test in workshop,test de fonctionnement dans le dépôt (m),Laufversuch in Werkstatt (m)
2544,構内専用車,wagon for internal yard use,"wagon pour gare, dépôt (m)",Bahnhofswagen (m)
2545,坑内測量,tunnel measurement,arpentage du tunnel (m),Tunnelmessung (f)
2546,構内配線,track layout inside yard premise,"disposition des voies dans l’enceinte de gare, dépôt (f)",Gleisführung innerhalb des Bahnhofsgebietes (f)
2547,構内踏切,"yard crossing, level crossing in a station",passage à niveau à l’intérieur de la gare (m),Bahnhofsübergang (m)
2548,構内無線,yard radio,radio de gare (f),Bahnhoffunk (m)
2549,勾配,gradient,gradient (m),Neigung (f)
2550,勾配抵抗,gradient resistance,résistance de pente (f),Steigungswiderstand (m)
2551,勾配標,gradient post,poteau de gradient (m),Neigungsanzeigermast (m)
2552,勾配変更点,transition point in gradient,point de transition en gradient (m),Übergangspunkt in Neigung (f)
2553,交番［乗務員の］,crew roster,"roulement (m), roulement du personnel de conduite (m)","Diensteinteilung (f), Dienstplan (m), Umlaufplan (m)"
2554,交番［車両の］,roster for rolling stock,roulement du matériel roulant (m),Umlaufplan für Fahrzeuge (m)
2555,交番応力［材料の］,alternate stress,"sollicitation alternée (f), sollicitation alternative (f), contrainte alternée (f)",Wechselbeanspruchung (f)
2556,交番検査［車両の］,regular inspection,"révision régulière (f), visite régulière (f)","regelmäßige Revision (f), regelmäßige Untersuchung (f), planmäßige Revision (f), planmäßige Untersuchung (f)"
2557,交番検査庫,regular inspection shop,atelier de révision régulière (m),Werkstätte für periodische Untersuchungen (f)
2558,交番作成,crew rostering,"roulement de service (m), roulement de personnel (m), tableau de roulement (m)","Diensteinteilung (f), Dienstplan (m)"
2559,交番順序,roster for crew,liste de roulement pour l’équipage (f),Personaldienstplan (m)
2560,交番2進3ビット指令式［電気指令式ブレーキの］,alternate binary 3 code command,commande 3 bits binaire alternative (f),abwechselnder binärer 3-Code-Befehl (m)
2561,交番表,roster,"roulement (m), roulement du matériel (m)","Diensteinteilung (f), Dienstplan (m), Umlaufplan (m)"
2562,後尾補助機関車,"banking locomotive, trailing locomotive",locomotive de pousse (f),Schlusslokomotive (f)
2563,後部標識,"tail sign, tail light marker","signal de queue de train (m), signal de queue (m)",Zugschlußsignal (n)
2564,高分子材料,"high-polymer materials, polymeric material","haut polymère (m), matière macromoléculaire (f)","Hochpolymer (n), makromolekularer Stoff (m)"
2565,溝壁,trench,fossé (m),Grabenmauer (f)
2566,高保磁力［磁気乗車券の］,high coercivity,coercitivité élevée (f),hohe Koerzitivfeldstärke (f)
2567,高マンガン鋼,high manganese steel,acier austénitique au manganèse (m),"austenitischer Manganstahl (m), Manganhartstahl (m)"
2568,高マンガン鉄筋,high-manganese steel bar,barre en acier austénitique au manganèse (f),"austenitischer Manganstahlstab (m), austenitische Manganstahlstange (f)"
2569,坑門［トンネルの］,portal,portail (m),"Portal (n), Portalrahmen (m)"
2570,鋼矢板,sheet pile,palplanche en acier (f),Spundwandstahl (m)
2571,鋼矢板締切り,coffering with steel sheet,batardeau en palplanches d’acier (m),Verwahrung mit Stahlblech (f)
2572,更油［潤滑油の］,"oil replacement, oil change","renouvellement de l’huile (m), changement d’huile (m)","Ölaustausch (m), Ölwechsel (m)"
2573,鉱油［潤滑油の］,mineral oil,huiles à base minérale (fpl),"Mineralöl (n), Erdöl (n)"
2574,高欄［橋の］,handrail,"main-courante (f), garde-corps (m), garde-fou (m), balustrade (f)","Brüstung (f), Geländer (n)"
2575,後流,wake,sillage (m),Nachlauf (m)
2576,交流インピーダンス法［鉄筋腐食検知の］,alternating current impedance method,procédé d’impédance du courant alternatif (m),Wechselstrom-Impedanzverfahren (n)
2577,交流回生ブレーキ,alternative current regenerative brake,frein à récupération de courant alternatif (m),"Wechselstrom-Netzbremse (f), Wechselstrom-Nutzbremse (f), Wechselstrom-Rekuperationsbremse (f), Wechselstrom-Rückgewinnungsbremse (f)"
2578,交流軌道回路,AC track circuit,circuit de voie à courant alternatif (m),Gleisstromkreis mit Wechselstromspeisung (m)
2579,交流軌道リレー,AC track relay,relais de voie à courant alternatif (m),Wechselstromgleisrelais (n)
2580,交流遮断器,AC circuit breaker,disjoncteur c.a. (m),Wechselstromschutzschalter (m)
2581,交流主ヒューズ［電気車の］,AC main fuse,fusible principal à courant alternatif (m),Wechselstrom-Hauptsicherung (f)
2582,交流整流子電動機,AC commutator motor,moteur à courant alternatif à collecteur (m),Wechselstromkommutatormotor (m)
2583,交流⊿I形故障選択装置,AC ⊿I type fault selective device,dispositif sélecteur de défaut de type CA ⊿I (m),Wechselstrom-⊿I-Störselektionsgerät (m)
2584,交流電化［鉄道の］,AC railway electrification,électrification en courant alternatif (f),"Einphasenstrom-Elektrifikation (f), Einphasenstrom-Elektrifizierung (f)"
2585,交流電気機関車,AC electric locomotive,"locomotive monophasée (f), locomotive à courant alternatif (f), locomotive à courant monophasé (f)",Einphasenwechselstromlokomotive (f)
2586,交流電気車,AC electric rolling stock,"matériel roulant monophasé (m), matériel roulant à courant alternatif (m), matériel roulant à courant monophasé (m)",Einphasenwechselstrom-Rollmaterial (n)
2587,交流電車,AC electric railcar,automotrice c.a. (f),Wechselstrom-Rollmaterial (n)
2588,交流電動機,AC motor,moteur à courant alternatif (m),Wechselstrommotor (m)
2589,交流避雷器［電気車の］,AC lightning arrester,parafoudre à courant alternatif (m),Wechselstrom-Überspannungsschutz (m)
2590,交流冒進［電気車の］,inflyingment to AC section,passage à la section c.a. sans commutation (m),Inflyment an Wechselstrom-Teil (n)
2591,交流用パンタグラフ,pantograph for AC feeding system,pantographe pour captage de courant altenartif (m),Stromabnehmer für Wechselstromzuführsystem (m)
2592,交流リレー,AC relay,relais à courant alternatif (m),Wechselstromrelais (n)
2593,抗力［超電導磁気浮上式鉄道における］,drag,"forte rampe (f), rampe prononcée (f)",Luftwiderstand (m)
2594,抗力係数,drag coefficient,coefficient de traînée (m),Widerstandskoeffizient (m)
2595,高力ボルト,high tensile bolt,boulon à haute résistance (m),hochfest vorgespannte Schraube (f)
2596,高燐鋳鉄制輪子,phosphorous cast iron brake block（shoe）,semelle de frein en fonte phosphoreuse (f),Bremsklotzsohle aus phosphorhaltige Gusseisen (f)
2597,行路,schedule for rolling stock usage,programme d’emploi du matériel roulant (m),Zeitplan für Fahrzeugbenutzung (m)
2598,行路差［音の］,path-length difference,"différence des chemins (f), différence de marche (f)",Schirmwert (m)
2599,高炉スラグ,blast furnace slag,laitier de haut fourneau (m),Hochofenschlacke (f)
2600,高炉セメント,blast-furnace portland cement,"ciment Portland au laitier (m), ciment au laitier (m)",Hochofen-Portlandzement (m)
2601,小返り［レールの］,rail tilting,sur-inclination du rail (f),Schienenneigung (f)
2602,小返り角［レールの］,rail tilting angle,angle d’inclinaison du rail (m),Neigungswinkel der Schiene (m)
2603,小返りモーメント［レールの］,rail tilting moment,instant de sur-inclinaison du rail (m),Schienendrehmoment
2604,黒煙［ディーゼルエンジンの］,black smoke,epaisse fumee (f),"Qualm (m), dichter Rauch (m)"
2605,黒鉛形状［鋳鉄の］,graphite form,morphologie de la graphite (dans la fonte) (f),Graphitform (f)
2606,黒鉛ブラシ,graphite brush,"balai de charbon (m), balai graphitique (m)","Kohleburste (f), Graphitkohleburste (f)"
2607,国際乗車証,rail pass for oversea passengers,billet pour voyageurs etrangers (m),Eisenbahnfahrkarte fur Uberseefahrgaste (f)
2608,国際鉄道医務連合,"UIMC, International Union of Railway Medical Services",Union Internationale des Services Medicaux des Chemins de Fer (U.I.M.C) (f),Internationaler Verband fur den bahnarztlichen Dienst (m)
2609,国際鉄道会議協会,International Railway Congress Association,Association internationale du congres des chemins de fer (f),Internationale Eisenbahn-Kongress-Vereinigung (f)
2610,国際鉄道輸送,international railway transport,"transport international par chemin de fer (m), transport ferroviaire international (m)",internationale Eisenbahnbeforderung (f)
2611,国際鉄道連合,International Union of Railways,Union Internationale des Chemins de Fer (f),Internationaler Eisenbahnverband (m)
2612,国際電気標準会議,"IEC, International Electrotechnical Commission","C.I.E., Commission internationale electrotechnique (f)","I.E.C., Internationale Elektronische Kommission (f)"
2613,国際物流システム,international physical distribution system,systeme de distribution international (m),internationales Materialflussabwicklungssystem (n)
2614,国際無線障害特別委員会,International Special Committee on Radio Interference,Comite international special sur les interferences radio (m),internationaler Sonderausschuss uber Funkstorung (m)
2615,黒心可鍛鋳鉄,black heart malleable cast iron,fonte malleable a coeur noir (m),schwarzer Tempergus (m)
2616,極低温,very low temperature,"temperature tres basse (f), temperature ultrabasse (f)",Tieftemperatur (f)
2617,国鉄再建監理委員会,JNR Restructuring Supervisory Committee,Comite de supervision de la restructuration JNR (m),JNR-Umstrukturierungsuberwachungskomitee (m)
2618,国鉄分割・民営化,privatization and division of the JNR,privatisation et division de JNR (f),Privatisierung und Teilung der JNR
2619,谷頭,valley-head,tete de vallee (f),Talkopf (m)
2620,国土交通省,"Ministry of Land, Infrastructure, Transport and Tourism","Ministere du Territoire, des Infrastructures, des Transports et du Tourisme (m)","Ministerium fur Land, Infrastruktur, Transport und Tourismus (n)"
2621,国土数値情報,digital national land information,informations numeriques de territoire national,Digitalinformation uber staatseigens Land (f)
2622,極難燃性,high fire retardancy,ininflammabilite extreme (f),hohe feuerhemmende Eigenschaften (pl)
2623,黒裂,squat,ecaillage de surface de roulement,Rissbildung mit ortlicher Einsenkung der Laufflache (f)
2624,固形潤滑材［パンタグラフすり板の］,solid lubricant,"lubrifiant solide (m), parafine","Festschmiermittel (n), Festschmierstoff (m)"
2625,5現示,five aspect,cinq aspects (m),Funf-Aspekt (m)
2626,跨座式鉄道,straddled type monorail,monorail type chevauche (m),Alwegbahn (Alweg = Axel Leonard Wenner Gren); Stehende Bahnen (Sattelbahnen) (f)
2627,腰板［車体の］,"wainscot sheathing, wainscot panel",revetement lambrisse (m),Tafelung (f)
2628,腰帯［車体の］,"belt rail, window sill",appui de fenetre (m),"Gurteltrager (m), Fensterbank (f)"
2629,腰掛［車両の］,seat,"siege (m), place assise (f)","Sitz (m), Sitzplatz (m)"
2630,個室寝台,"single-berth compartment（一人用), double-berth compartment（二人用）",roomette (wagon-lit) (f),"Einzelbettplatz (m), Einzelabteil (n)"
2631,腰土留［盛土の］,small size retaining wall on toe of embankment,mur de retenue au pied de remblai (m),kleine Haltewand am Fus eines Dammes (f)
2632,50 kg Nレール,50 kg N rail,rail de 50 kgN (m),50 kgN-Schiene (f)
2633,50 kg Tレール,50 kg T rail,rail de 50 kgT (m),50 kgT-Schiene (f)
2634,故障,fault,"defaillance (f), panne (f), perturbation (f)",Storung (f)
2635,故障診断・回復,"fault diagnosis, recovery",diagnostic de panne (m) / reparation (f),Fehlerdiagnose (f)
2636,故障選択装置,fault selective device,dispositif selectif de defaut (m),Storselektivgerat (n)
2637,故障点標定装置,fault locator,localisation de defaut (f),Storungsorter
2638,御乗用列車,special train for the imperial family,"le train Imperial (m), le train Royal (m)",Sonderzug fur die Kaiserfamilie (m)
2639,故障率,failure rate,taux de defaillance (m),Ausfallrate (f)
2640,COSMOS,Computerized safety maintenance and operation systems of Shinkansen,"systemes informatiques de securite, de maintenance, et d’exploitation du Shinkansen (mpl)","Betriebs-, Instandhaltungs- und Sicherheits-Computersysteme des Shinkansen (pl)"
2641,跨線橋,"bridge across railroad, overbridge","passerelle (f), autopont (m)",Brucke uber Eisenbahn (f)
2642,跨線線路橋,overbridge,"passage superieur (m), PS (m), pont-route (m), autopont (m)",Uberfuhrung (f)
2643,跨線通路橋,pedestrian overbridge,"passage superieur (m), PS, pont-route, m autopont (m)",Fusgangeruberfuhrung (f)
2644,こそく,blasted surface finishing,reglage (m),gestrahlte Oberflachenbearbeitung (f)
2645,固体音,structure borne sound,vibration sonore (f),Korperschall (m)
2646,固体高分子形［燃料電池の］,polymer electrolyte fuel cell,pile a combustible a electrolyte polymere (f),Polymer-Elektrolyt-Brennstoffzelle (f)
2647,固体潤滑剤,solid lubricant,lubrifiant solide (m),"Festschmiermittel (n), Festschmierstoff (m)"
2648,固体電解質［燃料電池の］,"solid oxide, solid electrolytic ceramics","oxyde solide (m), ceramique electrolyte solide (f)","Festoxid (n), Festelektrolytkeramik (f)"
2649,固体伝搬音,structure borne sound,vibration sonore (f),Korperschall (m)
2650,固着［車輪の］,"locking, wheel lock",blocage de roue (m),"Festbremsung (f), Blockierung (f)"
2651,固着検知装置,wheel lock detecting device,anti-enrayeur (m),Gleitschutzanlage (f)
2652,骨材［コンクリートの］,aggregate,agregat (m),"Aggregat (n), Zuschlagstoff (m), Zuschlag (m)"
2653,コッター［電車線金具の］,cotter,clavette (f),"Keil (m), Befestigungskeil (m)"
2654,コッターボルト,cotter bolt,boulon clavette (m),Splintbolzen (m)
2655,ゴットハルトベーストンネル,Gotthard Base Tunnel,Tunnel de Base du Gothard (m),Gotthard-Basistunnel (m)
2656,固定クロッシング,rigid crossing,croisement rigide (m),starre Kreuzung (f)
2657,固定警備［災害の］,fixed guard for disaster,surveillance fixe de desastres naturels (f),Wache fur Katastrophe (f)
2658,固定K字クロッシング,rigid obtuse crossing,c?ur de traversee rigide (m),starres doppeltes Herzstuck (n)
2659,固定腰掛［車両の］,fixed seat,siege fixe (m),fester Sitz (m)
2660,固定子［回転機の］,stator,stator (m),Stator (m)
2661,固定軸距［車両の］,wheelbase,empattement (m),"fester Achsabstand (m), starrer Achsstand (m)"
2662,固定支持,rigid support,support rigide (m),starre Stutze (f)
2663,固定支承［橋梁の］,fixed bearing,appui fixe (m),Festlager (n)
2664,固定子鉄心,stator core,noyau du stator (m),Statorkern (m)
2665,固定子巻線,stator winding,"enroulement du stator (m), bobinage du stator (m)","Standerwicklung (f), Statorwicklung (f)"
2666,固定地面板法［風洞試験の］,fixed ground technique,technique de plaque au sol fixe (f),Boden-Fixierungsmethode (f)
2667,固定スラブ,fixed slab,dalle fixe (f),feste Platte (f)
2668,固定ダイヤモンドクロッシング,rigid diamond crossing,"traversee oblique rigide (f), bretelle a disposition speciale (f)",starre schiefwinklige Kreuzung (f)
2669,固定端モーメント,fixed end moment,moment d’encastrement (m),Einspannmoment (n)
2670,固定引留カテナリー,fixed termination catenary,catenaire non-regularisee (f),festes Tragseil (n)
2671,固定引留式電線,fixed termination conductor,conducteur non-regularise (m),fester Anschlussleiter (m)
2672,固定引留トロリー線,fixed termination contact wire,fil de contact non-regularise (m),fest verankerter Fahrdraht (m)
2673,固定ビーム［電車線の］,fixed beam,poutre rigide (f),fester Balken (m)
2674,固定ブラケット,rigid cantilever,console fixe (m),starrer Ausleger (m)
2675,固定閉そく方式,fixed block system,bloc fixe (m),ortsfester Streckenblock (m)
2676,固定防雪柵,permanent snow fence,"para-neige permanent (m), barriere permanente contre neige (f)",standiger Schneezaun (m)
2677,固定窓［車両の］,fixed window,baie a glace fixe (f),Festfenster (n)
2678,固定連結器,fixed coupler,coupleur fixe (m),feste Kupplung (f)
2679,コード軌道回路,coded current track circuit,circuit de voie code (m),codierter Gleisstromkreis (m)
2680,小荷物,baggage,bagage (m),Gepack (n)
2681,コネクター［電車線の］,connector,connecteur (m),Verbindungsstuck (n)
2682,後熱処理［レール溶接の］,post weld heat treatment,traitement thermique apres soudage (m),Warmbehandlung nach dem Schweisen (f)
2683,碁盤目試験［塗膜の］,cross-cut adhesion test,essai d’adhesion quadrillage (m),Gitterschnittadhasionsprufung (f)
2684,個別検査［土木構造物の］,individual inspection,controle individuel (m),Einzeluntersuchung (f)
2685,個別車軸駆動,individual axle-drive,"transmission individuelle (f), commande individuelle des essieux (f)",Einzelachsantrieb (m)
2686,個別制御［電気車の］,individual inverter controlled single motor,"transmission individuelle (f), commande individuelle (f)","Einzel umrichtergesteuerten einzigen Motor (m), Ein-Wechselrichter-Ein-Motorantrieb (m)"
2687,コーベル［コンクリート部材の］,corbel,"corbeau (m), console (f), encorbellement (m), appui des poutres [carp.] (m)","Kragstein (m), Konsole (f), Balkenauflager (n), Balkenkopf (m), Kragband (n)"
2688,ゴム緩衝器［車両の］,"rubber draft gear, rubber buffer",dispositif elastique en caoutchouc (m),Gummipuffer (m)
2689,ゴム系接着剤,"rubber-based adhesive, rubber adhesive","adhesif en caoutchouc (m), colle a base de caoutchouc (f), adhesif elastomere (m)","Gummikleber (m), Kautschukleber (m)"
2690,ゴム系複合材料,rubber-based composite material,materiau composite caoutchoute (m),gummihaltiges Verbundmaterial (n)
